_id,status,data.city,data.state,data.country,data.location.type,data.location.coordinates,data.current.weather.ts,data.current.weather.tp,data.current.weather.pr,data.current.weather.hu,data.current.weather.ws,data.current.weather.wd,data.current.weather.ic,data.current.pollution.ts,data.current.pollution.aqius,data.current.pollution.mainus,data.current.pollution.aqicn,data.current.pollution.maincn
5ee4e5f19ae5d010d5ad0460,success,San Pedro,San Jose,Costa Rica,Point,"[-84.06519,9.933653]",2020-06-13T02:00:00.000Z,20,1017,100,2.6,280,10n,2020-06-13T02:00:00.000Z,20,p2,7,p2
5ee4e5f19ae5d010d5ad0461,success,Dakar,Dakar,Senegal,Point,"[-17.44406,14.6937]",2020-06-13T02:00:00.000Z,26,1012,88,6.2,220,04n,2020-06-13T02:00:00.000Z,54,p2,19,p2
5ee4e5f19ae5d010d5ad0462,success,Bandung,West Java,Indonesia,Point,"[107.60694,-6.92222]",2020-06-13T02:00:00.000Z,26,1011,57,0.54,94,04d,2020-06-13T02:00:00.000Z,135,p2,68,p2
5ee4e5f19ae5d010d5ad0463,success,Lanzhou,Gansu,China,Point,"[104.244289521,35.9997850427]",2020-06-13T02:00:00.000Z,13,846,87,1.43,349,04d,2020-06-13T02:00:00.000Z,84,p2,47,p1
5ee4e5f19ae5d010d5ad0464,success,Nicosia,Nicosia,Cyprus,Point,"[33.347919957077806,35.15192246950294]",2020-06-13T02:00:00.000Z,19,1006,56,6.2,280,01n,2020-06-13T01:00:00.000Z,33,o3,25,o3
5ee4e5f19ae5d010d5ad0465,success,Kutna Hora,Central Bohemia,Czech Republic,Point,"[15.26816,49.94839]",2020-06-13T02:00:00.000Z,15,1009,93,1.5,190,01n,2020-06-13T01:00:00.000Z,41,p2,25,p1
5ee4e5f19ae5d010d5ad0466,success,Witzenhausen,Hessen,Germany,Point,"[9.774587222222223,51.2917611]",2020-06-13T02:00:00.000Z,15,1022,95,0.93,76,10n,2020-06-13T01:00:00.000Z,1,n2,2,n2
5ee4e5f19ae5d010d5ad0467,success,Addis Ababa,Addis Ababa,Ethiopia,Point,"[38.757761,8.980603]",2020-06-13T02:00:00.000Z,14,1014,66,0.65,296,02n,2020-06-13T02:00:00.000Z,70,p2,30,p2
5ee4e5f19ae5d010d5ad0468,success,Flensburg,Schleswig-Holstein,Germany,Point,"[9.43809,54.781429999999986]",2020-06-13T02:00:00.000Z,15,1014,93,3.6,100,04n,2020-06-12T23:00:00.000Z,50,p2,17,p2
5ee4e5f19ae5d010d5ad0469,success,Trois-Rivieres,Guadeloupe,France,Point,"[-61.659656,15.978441]",2020-06-13T02:00:00.000Z,27,1014,78,2.6,120,04n,2020-06-13T02:00:00.000Z,51,p2,17,p2
5ee4e5f19ae5d010d5ad046a,success,Mayagueez,Mayaguez,Puerto Rico,Point,"[-67.13962,18.20107]",2020-06-13T02:00:00.000Z,24,1014,93,1.34,117,04n,,,,,
5ee4e5f19ae5d010d5ad046b,success,Algiers,Algiers,Algeria,Point,"[3.08746,36.73225]",2020-06-13T02:00:00.000Z,17,1012,82,1.5,270,03n,2020-06-13T02:00:00.000Z,78,p2,36,p2
5ee4e5f19ae5d010d5ad046c,success,Sangolqui,Pichincha,Ecuador,Point,"[-78.553416,-0.333949]",2020-06-13T02:00:00.000Z,15,1026,87,2.1,10,04n,2020-06-13T01:00:00.000Z,38,p2,13,p2
5ee4e5f19ae5d010d5ad046d,success,Linares,Maule,Chile,Point,"[-71.59961369999999,-35.846407]",2020-06-13T02:00:00.000Z,6,1029,83,1.62,121,01n,2020-06-12T22:00:00.000Z,149,p2,75,p2
5ee4e5f19ae5d010d5ad046e,success,Parnu Jogi,Paernumaa,Estonia,Point,"[24.925486,58.524441]",2020-06-13T02:00:00.000Z,8,1024,85,3.43,56,01d,2020-06-13T01:00:00.000Z,0,n2,1,n2
5ee4e5f19ae5d010d5ad046f,success,Majadahonda,Madrid,Spain,Point,"[-3.86722,40.44777999946968]",2020-06-13T02:00:00.000Z,10,1013,93,3.6,240,01n,2020-06-13T00:00:00.000Z,29,p2,12,p1
5ee4e5f19ae5d010d5ad0470,fail,,,,,,,,,,,,,,,,,
5ee4e5f19ae5d010d5ad0471,success,Addis Ababa,Addis Ababa,Ethiopia,Point,"[38.757761,8.980603]",2020-06-13T02:00:00.000Z,14,1014,66,0.65,296,02n,2020-06-13T02:00:00.000Z,70,p2,30,p2
